iter	Logloss
0	0.623488072
1	0.5692499433
2	0.5260702539
3	0.4925357007
4	0.4664169287
5	0.4458821978
6	0.429778176
7	0.4170912679
8	0.4070060948
9	0.3992071557
10	0.3924530611
11	0.387636588
12	0.3833943685
13	0.379975816
14	0.3772497268
15	0.3748230634
16	0.3727490016
17	0.3712338087
18	0.3698802645
19	0.3685303582
20	0.3674583217
21	0.3664540657
22	0.365670074
23	0.3649664888
24	0.364261712
25	0.3636603025
26	0.363108351
27	0.3625415984
28	0.3619907101
29	0.3616551112
30	0.3610029408
31	0.3605929735
32	0.3600918216
33	0.3597309585
34	0.3593320501
35	0.3590425449
36	0.3586198861
37	0.3582720075
38	0.3580063108
39	0.3575962878
40	0.3572010513
41	0.3569595942
42	0.3564595904
43	0.3561277577
44	0.3558738321
45	0.3555877468
46	0.3553414529
47	0.3550505211
48	0.3547804696
49	0.3543912373
50	0.3540500096
51	0.3536786373
52	0.3533462234
53	0.3530381751
54	0.352725818
55	0.3524023631
56	0.3520226106
57	0.3517416019
58	0.351482699
59	0.3511601282
60	0.3508654495
61	0.3506057255
62	0.3503047083
63	0.3499622745
64	0.3495988295
65	0.3492467123
66	0.3488625832
67	0.348593951
68	0.3483724467
69	0.3481186422
70	0.3478558035
71	0.3476647077
72	0.3473915488
73	0.3470806328
74	0.3468484134
75	0.3465862286
76	0.3462888566
77	0.3460385786
78	0.3457103112
79	0.3453917634
80	0.345046176
81	0.3447427683
82	0.3444198608
83	0.3441808985
84	0.3439365133
85	0.3435251145
86	0.3432822382
87	0.3429585484
88	0.3426274835
89	0.3423695349
90	0.3420731148
91	0.341801908
92	0.3414819336
93	0.3411884272
94	0.3408690123
95	0.3405914282
96	0.3403072079
97	0.3398870123
98	0.3396014404
99	0.3393666125
100	0.3391135467
101	0.3389087544
102	0.3386602662
103	0.3383408077
104	0.3380764117
105	0.3378822157
106	0.3376629372
107	0.3373771571
108	0.3371302674
109	0.3369217258
110	0.3367308916
111	0.3364542353
112	0.3361949836
113	0.3359293983
114	0.3355503433
115	0.335272769
116	0.3349981036
117	0.3347325158
118	0.3344297161
119	0.3342019787
120	0.3339990525
121	0.3336183167
122	0.3333405595
123	0.3331786141
124	0.3329982237
125	0.3327467782
126	0.3323888191
127	0.3321317412
128	0.3318913439
129	0.3316505008
130	0.3314535147
131	0.331174056
132	0.3310201954
133	0.3308006832
134	0.3304933784
135	0.3302862791
136	0.3299931578
137	0.3298063357
138	0.3295861041
139	0.3292714461
140	0.3290359751
141	0.3287322792
142	0.3284673733
143	0.3281879413
144	0.3279034714
145	0.3276505643
146	0.3274216498
147	0.3271351757
148	0.3267532748
149	0.3265176876
150	0.3263647836
151	0.3260724894
152	0.3258485195
153	0.3256305089
154	0.3254303608
155	0.3252506438
156	0.3250535487
157	0.3247964805
158	0.3245922355
159	0.3243992506
160	0.324217935
161	0.3239459761
162	0.3237082563
163	0.3235608358
164	0.3233803619
165	0.3232458968
