iter	Passed	Remaining
0	153	153016
1	176	88262
2	197	65575
3	221	55200
4	247	49335
5	271	44934
6	297	42184
7	318	39463
8	340	37475
9	357	35438
10	379	34132
11	395	32595
12	418	31773
13	441	31127
14	466	30662
15	487	29999
16	511	29556
17	535	29214
18	558	28835
19	580	28443
20	605	28210
21	627	27898
22	651	27678
23	672	27366
24	694	27082
25	714	26748
26	734	26484
27	757	26298
28	779	26107
29	802	25941
30	823	25735
31	844	25554
32	866	25404
33	890	25287
34	911	25137
35	933	24997
36	954	24853
37	978	24780
38	1000	24662
39	1025	24617
40	1045	24460
41	1067	24339
42	1088	24218
43	1109	24105
44	1132	24028
45	1154	23938
46	1180	23935
47	1204	23898
48	1229	23860
49	1251	23776
50	1277	23771
51	1301	23719
52	1326	23704
53	1352	23693
54	1379	23703
55	1402	23645
56	1427	23623
57	1451	23578
58	1474	23513
59	1499	23491
60	1527	23507
61	1549	23440
62	1573	23406
63	1597	23361
64	1622	23340
65	1646	23299
66	1670	23268
67	1694	23228
68	1719	23195
69	1741	23142
70	1766	23109
71	1787	23045
72	1812	23015
73	1839	23019
74	1863	22978
75	1888	22965
76	1912	22925
77	1938	22908
78	1964	22900
79	1987	22855
80	2010	22813
81	2035	22785
82	2056	22722
83	2081	22693
84	2104	22658
85	2128	22621
86	2152	22586
87	2173	22526
88	2198	22499
89	2221	22460
90	2244	22421
91	2266	22371
92	2288	22317
93	2310	22272
94	2332	22223
95	2355	22182
96	2378	22139
97	2395	22052
98	2419	22018
99	2444	21999
100	2467	21964
101	2488	21911
102	2510	21864
103	2530	21801
104	2554	21773
105	2575	21725
106	2596	21669
107	2618	21628
108	2640	21581
109	2663	21546
110	2684	21499
111	2709	21483
112	2732	21446
113	2753	21399
114	2774	21353
115	2801	21345
116	2824	21320
117	2845	21266
118	2866	21224
119	2891	21202
120	2914	21172
121	2935	21125
122	2960	21110
123	2983	21080
124	3006	21042
125	3029	21016
126	3051	20978
127	3072	20930
128	3094	20892
129	3117	20861
130	3138	20820
131	3159	20775
132	3182	20744
133	3206	20722
134	3231	20703
135	3255	20681
136	3276	20639
137	3299	20608
138	3321	20572
139	3348	20566
140	3375	20566
141	3402	20560
142	3431	20564
143	3455	20541
144	3481	20531
145	3507	20513
146	3534	20510
147	3563	20511
148	3585	20479
149	3611	20465
150	3636	20445
151	3663	20440
152	3690	20430
153	3715	20412
154	3745	20418
155	3773	20412
156	3799	20403
157	3826	20393
158	3852	20378
159	3879	20367
160	3906	20358
161	3933	20348
162	3960	20337
163	3984	20312
164	4008	20284
165	4031	20253
166	4054	20225
167	4080	20206
168	4103	20175
169	4125	20140
170	4149	20117
171	4172	20084
172	4198	20071
173	4219	20032
174	4242	19998
175	4262	19958
176	4286	19929
177	4311	19910
178	4332	19870
179	4354	19838
180	4378	19814
181	4400	19777
182	4424	19754
183	4445	19715
184	4468	19685
185	4493	19663
186	4517	19642
187	4541	19614
188	4564	19586
189	4588	19562
190	4608	19521
191	4632	19494
192	4657	19474
193	4681	19450
194	4703	19418
195	4729	19400
196	4752	19372
197	4775	19342
198	4799	19319
199	4824	19298
200	4850	19280
201	4874	19254
202	4897	19229
203	4919	19195
204	4942	19169
205	4963	19132
206	4987	19106
207	5010	19079
208	5031	19041
209	5055	19018
210	5076	18982
211	5100	18957
212	5123	18929
213	5145	18898
214	5169	18875
215	5193	18849
216	5214	18816
217	5238	18791
218	5261	18764
219	5284	18736
220	5309	18714
221	5333	18690
222	5356	18664
223	5377	18628
224	5400	18601
225	5424	18578
226	5449	18557
227	5472	18530
228	5498	18511
229	5521	18485
230	5546	18464
231	5571	18444
232	5599	18431
233	5624	18411
234	5648	18388
235	5672	18363
236	5697	18344
237	5722	18321
238	5747	18299
239	5772	18281
240	5798	18260
241	5822	18236
242	5844	18208
243	5869	18185
244	5895	18167
245	5917	18137
246	5941	18114
247	5965	18090
248	5989	18066
249	6013	18041
250	6035	18011
251	6061	17992
252	6087	17972
253	6112	17952
254	6137	17930
255	6163	17911
256	6186	17884
257	6208	17856
258	6233	17834
259	6254	17802
260	6277	17775
261	6300	17748
262	6323	17719
263	6343	17685
264	6364	17652
265	6388	17627
266	6410	17597
267	6432	17569
268	6455	17543
269	6478	17516
270	6501	17490
271	6527	17471
272	6553	17453
273	6578	17430
274	6601	17403
275	6622	17371
276	6645	17345
277	6669	17320
278	6690	17288
279	6713	17264
280	6734	17230
281	6760	17211
282	6781	17181
283	6807	17161
284	6830	17135
285	6857	17119
286	6881	17095
287	6904	17068
288	6926	17041
289	6953	17023
290	6978	17003
291	6999	16972
292	7024	16949
293	7048	16925
294	7070	16897
295	7095	16876
296	7121	16856
297	7144	16829
298	7167	16803
299	7190	16777
300	7211	16746
301	7236	16725
302	7262	16705
303	7287	16684
304	7313	16665
305	7336	16638
306	7359	16612
307	7383	16588
308	7406	16563
309	7430	16539
310	7456	16519
311	7480	16496
312	7504	16472
313	7531	16453
314	7555	16429
315	7581	16409
316	7604	16385
317	7630	16364
318	7656	16344
319	7682	16325
320	7706	16301
321	7730	16276
322	7755	16256
323	7780	16233
324	7806	16214
325	7830	16188
326	7857	16170
327	7880	16144
328	7904	16121
329	7930	16101
330	7957	16083
331	7981	16058
332	8007	16038
333	8032	16017
334	8058	15997
335	8082	15972
336	8108	15952
337	8131	15927
338	8159	15909
339	8187	15893
340	8214	15874
341	8237	15847
342	8263	15827
343	8290	15809
344	8316	15789
345	8341	15767
346	8369	15750
347	8394	15728
348	8414	15695
349	8440	15675
350	8463	15649
351	8489	15628
352	8513	15604
353	8537	15579
354	8562	15558
355	8587	15534
356	8612	15511
357	8636	15487
358	8657	15458
359	8679	15430
360	8705	15409
361	8729	15384
362	8748	15351
363	8772	15327
364	8794	15300
365	8816	15272
366	8838	15244
367	8863	15221
368	8888	15199
369	8910	15171
370	8935	15149
371	8954	15116
372	8979	15094
373	9004	15071
374	9029	15049
375	9051	15022
376	9077	14999
377	9108	14987
378	9131	14961
379	9153	14934
380	9178	14911
381	9200	14884
382	9223	14859
383	9249	14837
384	9271	14811
385	9296	14787
386	9321	14764
387	9345	14741
388	9365	14711
389	9391	14689
390	9415	14665
391	9438	14638
392	9463	14616
393	9486	14590
394	9510	14566
395	9534	14541
396	9554	14512
397	9577	14487
398	9603	14465
399	9626	14440
400	9653	14420
401	9680	14400
402	9705	14377
403	9729	14353
404	9750	14325
405	9775	14301
406	9800	14280
407	9825	14256
408	9850	14233
409	9874	14208
410	9898	14185
411	9924	14164
412	9951	14143
413	9975	14119
414	10000	14097
415	10021	14069
416	10046	14045
417	10072	14023
418	10097	14001
419	10123	13980
420	10148	13957
421	10174	13935
422	10197	13910
423	10221	13885
424	10246	13863
425	10271	13840
426	10298	13820
427	10325	13799
428	10351	13777
429	10375	13753
430	10396	13725
431	10422	13704
432	10451	13686
433	10475	13661
434	10499	13637
435	10524	13614
436	10548	13590
437	10573	13566
438	10597	13542
439	10620	13517
440	10643	13491
441	10668	13468
442	10689	13439
443	10711	13413
444	10735	13389
445	10760	13366
446	10785	13343
447	10810	13319
448	10835	13297
449	10860	13273
450	10885	13250
451	10910	13227
452	10932	13200
453	10960	13181
454	10986	13159
455	11014	13139
456	11038	13115
457	11065	13094
458	11084	13064
459	11109	13041
460	11130	13013
461	11154	12989
462	11180	12966
463	11204	12943
464	11228	12918
465	11253	12895
466	11275	12868
467	11298	12843
468	11320	12817
469	11343	12791
470	11364	12763
471	11387	12738
472	11411	12714
473	11437	12691
474	11456	12662
475	11480	12638
476	11505	12614
477	11530	12591
478	11552	12565
479	11577	12541
480	11602	12518
481	11625	12493
482	11649	12469
483	11674	12446
484	11697	12421
485	11724	12400
486	11751	12378
487	11775	12355
488	11802	12333
489	11828	12310
490	11851	12286
491	11875	12262
492	11900	12238
493	11928	12218
494	11952	12193
495	11980	12173
496	12007	12152
497	12031	12128
498	12057	12106
499	12086	12086
500	12108	12059
501	12134	12037
502	12161	12016
503	12185	11992
504	12210	11968
505	12236	11946
506	12261	11923
507	12289	11902
508	12317	11882
509	12345	11860
510	12372	11839
511	12399	11818
512	12426	11796
513	12451	11773
514	12478	11751
515	12502	11726
516	12524	11700
517	12548	11676
518	12572	11652
519	12596	11627
520	12621	11604
521	12644	11578
522	12665	11551
523	12687	11525
524	12711	11500
525	12735	11476
526	12759	11451
527	12782	11426
528	12806	11402
529	12829	11376
530	12852	11352
531	12876	11327
532	12899	11302
533	12923	11277
534	12948	11254
535	12970	11227
536	12994	11203
537	13018	11179
538	13042	11154
539	13065	11130
540	13088	11105
541	13111	11079
542	13134	11054
543	13156	11028
544	13182	11005
545	13205	10980
546	13228	10955
547	13259	10936
548	13288	10916
549	13312	10891
550	13334	10866
551	13357	10841
552	13379	10815
553	13399	10787
554	13424	10763
555	13447	10738
556	13470	10713
557	13491	10687
558	13511	10659
559	13530	10630
560	13553	10606
561	13574	10579
562	13594	10552
563	13615	10525
564	13635	10498
565	13656	10471
566	13678	10446
567	13703	10422
568	13725	10396
569	13750	10373
570	13772	10347
571	13793	10320
572	13815	10295
573	13839	10271
574	13864	10247
575	13889	10224
576	13911	10198
577	13934	10173
578	13957	10149
579	13979	10123
580	14002	10098
581	14025	10073
582	14050	10050
583	14074	10025
584	14096	10000
585	14120	9976
586	14144	9952
587	14170	9928
588	14193	9903
589	14214	9878
590	14239	9854
591	14264	9830
592	14285	9804
593	14310	9781
594	14335	9757
595	14357	9732
596	14380	9707
597	14402	9682
598	14428	9659
599	14450	9633
600	14473	9608
601	14495	9583
602	14513	9555
603	14533	9528
604	14554	9502
605	14578	9478
606	14601	9453
607	14624	9428
608	14648	9404
609	14673	9381
610	14698	9357
611	14717	9330
612	14743	9307
613	14770	9285
614	14791	9259
615	14815	9235
616	14840	9212
617	14870	9192
618	14900	9171
619	14924	9147
620	14947	9122
621	14976	9101
622	15000	9077
623	15031	9057
624	15057	9034
625	15082	9011
626	15109	8988
627	15134	8965
628	15160	8942
629	15183	8917
630	15207	8893
631	15232	8869
632	15257	8846
633	15284	8823
634	15306	8798
635	15327	8772
636	15351	8748
637	15370	8721
638	15392	8696
639	15412	8669
640	15435	8644
641	15456	8619
642	15478	8593
643	15499	8568
644	15519	8541
645	15540	8516
646	15559	8489
647	15580	8463
648	15603	8438
649	15624	8413
650	15645	8387
651	15668	8363
652	15692	8338
653	15714	8313
654	15740	8290
655	15763	8266
656	15787	8241
657	15811	8217
658	15835	8194
659	15855	8167
660	15877	8142
661	15901	8119
662	15924	8094
663	15951	8071
664	15974	8047
665	15997	8022
666	16021	7998
667	16045	7974
668	16069	7950
669	16093	7926
670	16115	7901
671	16140	7878
672	16165	7854
673	16189	7830
674	16210	7805
675	16235	7781
676	16258	7757
677	16280	7731
678	16303	7707
679	16328	7684
680	16350	7659
681	16375	7635
682	16397	7610
683	16423	7587
684	16448	7563
685	16473	7540
686	16494	7514
687	16518	7490
688	16537	7464
689	16558	7439
690	16577	7413
691	16600	7388
692	16623	7364
693	16645	7339
694	16664	7313
695	16687	7288
696	16706	7262
697	16732	7239
698	16760	7217
699	16784	7193
700	16805	7168
701	16826	7143
702	16846	7117
703	16866	7091
704	16889	7067
705	16909	7041
706	16930	7016
707	16957	6993
708	16983	6970
709	17011	6948
710	17038	6925
711	17065	6902
712	17094	6880
713	17120	6857
714	17146	6834
715	17171	6810
716	17199	6788
717	17225	6765
718	17250	6741
719	17275	6718
720	17297	6693
721	17320	6669
722	17344	6645
723	17366	6620
724	17386	6594
725	17406	6569
726	17425	6543
727	17446	6518
728	17466	6493
729	17486	6467
730	17507	6442
731	17526	6416
732	17547	6391
733	17568	6366
734	17588	6341
735	17612	6317
736	17634	6293
737	17658	6269
738	17682	6244
739	17711	6223
740	17737	6199
741	17767	6177
742	17794	6154
743	17822	6132
744	17851	6110
745	17878	6087
746	17905	6064
